"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Adaptive Retrieval Method of Legal Information based on Artificial Intelligence","G. Yang","Chongqing Vocational College of Transportation,Chongqing,China","2020 IEEE International Conference on Industrial Application of Artificial Intelligence (IAAI)","1 Feb 2021","2020","","","13","17","In the current legal information retrieval methods, keywords are used for extraction and neural networks are used for search. However, the keywords of cases in legal information are different. Simply using keywords to extract the search results in insufficient accuracy. Therefore, an adaptive retrieval method of legal information based on artificial intelligence is proposed. First, establish a positional legal language model to determine the total number of spreads in the term. According to the definition of the term in the model, calculate the similarity of the semantic concept of the term. After confirming that the concept is similar to the term, calculate the co-occurring words in the term. Finally, an artificial intelligence algorithm is used to retrieve the co-occurring words. In order to verify the feasibility of the designed retrieval method, literature [1], literature [2] and design methods were used to retrieve the contents of a certain legal information database. The experimental results show that the designed retrieval method has a higher retrieval accuracy and meets the design requirements.","","978-1-6654-0471-6","10.1109/IAAI51705.2020.9332812","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9332812","Term definition;Co-occurrence words;Legal information","Adaptation models;Law;Design methodology;Semantics;Neural networks;Information retrieval;Artificial intelligence","artificial intelligence;feature extraction;law administration;neural nets;query formulation;text analysis","artificial intelligence;legal information database;adaptive retrieval;legal information retrieval;neural networks;search result extraction;co-occurring word retrieval","","","","14","","1 Feb 2021","","","IEEE","IEEE Conferences"
"Determining Worker Type from Legal Text Data using Machine Learning","Y. Yin; F. Zulkernine; S. Dahan","Queen’s University,School of Computing,Bigdata Analytics and Management Lab,Kingston,Ontario,Canada; Queen’s University,School of Computing,Bigdata Analytics and Management Lab,Kingston,Ontario,Canada; Cornell Law Queen’s University,Queen’s Law,Conflict Analytics Lab,Kingston,Ontario,Canada","2020 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)","11 Nov 2020","2020","","","444","450","This project addresses a classic employment law question in Canada and elsewhere using machine learning approach: how do we know whether a worker is an employee or an independent contractor? This is a central issue for self-represented litigants insofar as these two legal categories entail very different rights and employment protections. In this interdisciplinary research study, we collaborated with the Conflict Analytics Lab to develop machine learning models aimed at determining whether a worker is an employee or an independent contractor. We present a number of supervised learning models including a neural network model that we implemented using data labeled by law researchers and compared the accuracy of the models. Our neural network model achieved an accuracy rate of 91.5%. A critical discussion follows to identify the key features in the data that influence the accuracy of our models and provide insights about the case outcomes.","","978-1-7281-6609-4","10.1109/DASC-PICom-CBDCom-CyberSciTech49142.2020.00084","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9251195","machine learning;legal judgement prediction;employee;contractor;employment law;artificial intelligence","Computational modeling;Neural networks;Supervised learning;Employment;Machine learning;Data models;Employment law","employment law;learning (artificial intelligence);neural nets;personnel;text analysis","legal text data;classic employment law question;Canada;machine learning approach;self-represented litigants;legal categories;employment protections;interdisciplinary research study;Conflict Analytics Lab;machine learning models;supervised learning models;neural network model;worker type","","","","25","","11 Nov 2020","","","IEEE","IEEE Conferences"
"Combining Domain Knowledge Extraction With Graph Long Short-Term Memory for Learning Classification of Chinese Legal Documents","G. Li; Z. Wang; Y. Ma","School of Control and Computer Engineering, North China Electric Power University, Beijing, China; School of Control and Computer Engineering, North China Electric Power University, Beijing, China; School of Control and Computer Engineering, North China Electric Power University, Beijing, China","IEEE Access","3 Oct 2019","2019","7","","139616","139627","It is of great importance for procedure retrieval to find an effective classification method of Chinese legal documents with deep semantic understanding, as the electronic documents of Chinese law have massive volume and complex structure. In this paper, a method for learning Chinese legal document classification using Graph LSTM (Long Short-Term Memory) combined with domain knowledge extraction is proposed. First, the judicial domain model is constructed based on ontologies that include top-level ontology and domain-specific ontology. Second, the legal documents are divided into different knowledge blocks through top-level ontology and domain-specific ontology. Third, information is extracted from the knowledge blocks according to the legal domain model and stored in XML files. At last, Graph LSTM is applied for classification. The experiments show that compared with the traditional classification methods of support vector machine (SVM) and LSTM, Graph LSTM has higher classification accuracy and better classification performance.","2169-3536","","10.1109/ACCESS.2019.2943668","National Basic Research Program of China (973 Program); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8848401","Graph LSTM;judicial field;judicial domain model;literature search","Law;Ontologies;Semantics;Information retrieval;Feature extraction;Text categorization","document handling;graph theory;information retrieval;knowledge acquisition;law;natural language processing;ontologies (artificial intelligence);pattern classification;support vector machines;XML","domain knowledge extraction;deep semantic understanding;electronic documents;Chinese law;complex structure;Chinese legal document classification;judicial domain model;ontologies;top-level ontology;domain-specific ontology;knowledge blocks;legal domain model;classification performance;graph LSTM;graph long short-term memory;support vector machine;SVM","","2","","46","CCBY","25 Sep 2019","","","IEEE","IEEE Journals"
"Data mining and visualization on legal documents","D. Gaur","Department of Computer Engineering, College of Technology, G.B. Pant University of Agriculture and Technology, Pantnagar, Uttarakhand-263145, India","2011 International Conference on Recent Trends in Information Systems","9 Feb 2012","2011","","","132","136","LIRFSS (Legal Information Retrieval and Focused Semantic Search) is a system that performs IR(Information Retrieval) and IE(Information Extraction) on Indian Supreme Court decisions, specifically on criminal cases related to murder and provide focused semantic search results, offering a high potential of assistance for judges, lawyers and citizens in getting access to law. In this paper, development process of LIRFSS is discussed. Appropriate information to be extracted for criminal cases such as date, location of occurrence and IPC (Indian Penal code)[1] sections were determined from a sample set of documents. Better instruments than manual browsing and other search methods are required to make the most out of freely available law on internet, therefore a semantic search is carried out using extracted information and most pertinent cases were returned as a result. As analyzing the vast volumes of data becomes increasingly difficult, so information visualization is also carried out in this paper and a new hypotheses is proposed and verified. From 20 training documents, a satisfactory amount of precision was obtained.","","978-1-4577-0792-6","10.1109/ReTIS.2011.6146854","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6146854","Data Mining;Information Extraction;Annotations;Database Searching;Statistical Visualization","Data mining;Logic gates;Law;Data visualization;Semantics;Databases","data mining;data visualisation;document handling;information retrieval;Internet;law administration;search problems","data mining;data visualization;legal document;LIRFSS;legal information retrieval;information extraction;Indian Supreme Court decision;criminal case;focused semantic search method;IPC section;Indian Penal code;document set;Internet","","2","","5","","9 Feb 2012","","","IEEE","IEEE Conferences"
"Towards ECLI 2.0","M. Van Opijnen; M. Palmirani; F. Vitali; J. van den Oever; T. Agnoloni","Publications Office of the Netherlands, The Hague, Netherlands; Univ. of Bologna, Bologna, Italy; Inst. of Legal Inf. Theor. & Tech., Florence, Italy; Publications Office of the Netherlands, The Hague, Netherlands; Inst. of Legal Inf. Theor. & Tech., Florence, Italy","2017 Conference for E-Democracy and Open Government (CeDEM)","21 Sep 2017","2017","","","135","143","The European Case Law Identifier (ECLI) was established in 2010. It has been implemented by three European courts and (partly or in full) by twelve Member States, while eight Member States are preparing an implementation. During these implementations various issues concerning the format, metadata and the architecture of ECLI have surfaced, while in the meantime technological insights have progressed. To improve the accessibility of current and future case law repositories an ECLI 2.0 needs to be considered. Given the implementations realized, backwards compatibility is an absolute prerequisite. In this paper the various issues and possible solutions are discussed.","","978-1-5090-6719-0","10.1109/CeDEM.2017.17","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8046280","European Case Law Identifier;Legal Semantic Web;Judicial Transparency;Open Data","Law;Europe;Metadata;Standards;Semantic Web;Registers","law administration","European case law identifier 2.0;ECLI 2.0;European courts","","","","17","","21 Sep 2017","","","IEEE","IEEE Conferences"
"VNLawBERT: A Vietnamese Legal Answer Selection Approach Using BERT Language Model","C. -N. Chau; T. -S. Nguyen; L. -M. Nguyen","University of Science,Ho Chi Minh city,Vietnam; Vietnam National University,Ho Chi Minh city,Vietnam; Japan Advanced Institute of Science and Technology,Japan","2020 7th NAFOSTED Conference on Information and Computer Science (NICS)","2 Feb 2021","2020","","","298","301","Recently, with the development of NLP (Natural Language Processing) methods and Deep Learning, there are several solutions to the problems in question answering systems that achieve superior results. However, there are not many solutions to question-answering systems in the Vietnamese legal domain. In this research, we propose an answer selection approach by fine-tuning the BERT language model on our Vietnamese legal question-answer pair corpus and achieve an 87% F1-Score. We further pre-train the original BERT model on a Vietnamese legal domain-specific corpus and achieve a higher F1-Score than the original BERT at 90.6% on the same task, which could reveal the potential of a new pre-trained language model in the legal area.","","978-0-7381-0553-6","10.1109/NICS51282.2020.9335906","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9335906","natural language processing;question answering;answer selection;language model;legal document","Law;Computational modeling;Bit error rate;Knowledge discovery;Natural language processing;Task analysis;Domain specific languages","learning (artificial intelligence);natural language processing;question answering (information retrieval);text analysis","F1-score;deep learning;natural language processing;NLP methods;Vietnamese legal answer selection approach;legal area;pretrained language model;Vietnamese legal domain-specific;original BERT model;Vietnamese legal question-answer pair corpus;BERT language model;question-answering systems","","","","16","","2 Feb 2021","","","IEEE","IEEE Conferences"
"Verdict Prediction for Indian Courts Using Bag of Words and Convolutional Neural Network","V. G. Pillai; L. R. Chandran","Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Amrita University,Department of Electrical and Electronics Engineering,Amritapuri,India; Amrita School of Engineering, Amrita Vishwa Vidyapeetham, Amrita University,Department of Electrical and Electronics Engineering,Amritapuri,India","2020 Third International Conference on Smart Systems and Inventive Technology (ICSSIT)","6 Oct 2020","2020","","","676","683","All courts in India publish judgment by statistically analyzing the data of different cases and understanding the verdict from precedents judgments and the statute law. The approach of our study is to highlight the importance of Convolutional Neural Network (CNN) and Natural Language Processing (NLP) in the legal domain. The Bag of Words technique is being proposed i.e., one of the NLP tool to analyze the text of the court proceedings to extract the keywords from the text and CNN to classify each case into its charges (as per judicial law of India), to predict whether it is a bailable or a non-bailable offence and to give an approximate judicial decision. The results show that this method has an average accuracy of 85% in prediction based on the IPC (Indian Penal Code) which is extracted from the case files. This research work data is taken from the judicial pronouncement and the constitution of India.","","978-1-7281-5821-1","10.1109/ICSSIT48917.2020.9214278","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9214278","Legal intelligence;Deep learning;Indian Law of Justices;Natural Language Processing;Bag of Words;Convolutional Neural Network","Law;Natural language processing;Convolutional neural networks;Machine learning;Weapons;Robots","convolutional neural nets;law administration;learning (artificial intelligence);natural language processing;pattern classification;statistical analysis;text analysis","India constitution;judicial pronouncement;case classification;keyword extraction;text analysis;natural language processing;statistical analysis;Bag of Words;judgment publishing;precedent judgments;convolutional neural network;Indian courts;verdict prediction;case files;Indian Penal Code;judicial decision;nonbailable offence;judicial law;court proceedings;NLP;legal domain;CNN;statute law","","","","32","","6 Oct 2020","","","IEEE","IEEE Conferences"
"Information Mining From Criminal Judgments of Lahore High Court","A. Iftikhar; S. W. Ul Qounain Jaffry; M. K. Malik","Punjab University College of Information Technology, Lahore, Pakistan; Punjab University College of Information Technology, Lahore, Pakistan; Punjab University College of Information Technology, Lahore, Pakistan","IEEE Access","17 May 2019","2019","7","","59539","59547","Since the last few years, computers have become a prominent part of the court of law. Courts generate an enormous amount of unstructured text on a daily basis. Extraction of the desired information from this unstructured legal text is one of the major issues. So, there is a need to develop an intelligent system that can automatically find useful and critical information from the available text. Such a system will help judges and lawyers in their judgments and case preparations, common people in understanding law, and finding appropriate lawyer for their legal issues. Therefore, in this research, Punjab University Legal Mining System (PULMS) is developed using three different supervised machine learning algorithms; conditional random field (CRF), maximum entropy (MaxEnt), and trigram N tag (TNT). To train the system, 304 criminal miscellaneous judgments of the Lahore High Court (LHC) of Pakistan are manually tagged for nine named entities (NE). After training, among three machine learning algorithms, the system achieved significant precision, recall, and f-measure using CRF which are 0.97, 0.87, and 0.89, respectively.","2169-3536","","10.1109/ACCESS.2019.2915352","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8709665","Legal text mining;information extraction;named entity recognition;legal proceedings;criminal judgments","Law;Data mining;Machine learning algorithms;Large Hadron Collider;Hidden Markov models;Organizations","data mining;law administration;maximum entropy methods;random processes;supervised learning;text analysis","criminal judgments;unstructured legal text;intelligent system;legal issues;Punjab University Legal Mining System;conditional random field;CRF;maximum entropy;trigram N tag;information mining;supervised machine learning algorithms;Lahore High Court;named entities","","2","","17","","8 May 2019","","","IEEE","IEEE Journals"
"Software Engineering Interpretation of Information Processing Regulations","S. S. Al-Fedaghi","Kuwait Univ., Kuwait","2008 32nd Annual IEEE International Computer Software and Applications Conference","8 Aug 2008","2008","","","271","274","Current software engineering methods extract software requirements through converting legal text into semi-formal constraints and rules. In this paper, we complement these methods with a state-based model that includes all possibilities of information flow. We show that such a model provides a foundation for the interpretation process.","0730-3157","978-0-7695-3262-2","10.1109/COMPSAC.2008.11","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4591568","software requirements;information flow;legal text;interpretation","Medical services;Software;Privacy;Data mining;Computational modeling;Permission;Software engineering","program interpreters;software engineering","software engineering interpretation;information processing regulations;software extraction;semiformal constraints;state-based model;interpretation process","","5","","6","","8 Aug 2008","","","IEEE","IEEE Conferences"
"Improving Legal Ontologies through Semantic Representation of Adjectives","A. Bertoldi; R. Chishman","Universidade do Vale do Rio dos Sinos, Brazil; Universidade do Vale do Rio dos Sinos, Brazil","International Conference on Semantic Computing (ICSC 2007)","8 Oct 2007","2007","","","767","774","The research reported here results from a master's thesis project developed in the scope of SEMANTEC, DIRPI and LOIS projects. The aim of our research was to show what kind of semantic information was carried by adjectives and how this information could improve legal ontologies and legal information retrieval. In this paper we will discuss the main results related to the development of this research. We combine different linguistic theories to approach adjectival semantics. As result of this research, we propose five different adjectival groups. Each group has a specific semantic behavior and can contribute in different ways to legal information retrieval.","","978-0-7695-2997-4","10.1109/ICSC.2007.44","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4338421","","Law;Legal factors;Ontologies;Information retrieval;Educational institutions;Natural language processing;Knowledge acquisition;Machine assisted indexing;Joining processes;Computer architecture","computational linguistics;information retrieval;law administration;ontologies (artificial intelligence)","legal ontology;adjectival semantic representation;legal information retrieval;linguistic theory","","","","22","","8 Oct 2007","","","IEEE","IEEE Conferences"
"LegalOps: A Summarization Corpus of Legal Opinions","A. Gargett; R. Firth; N. Aletras","The Open University,School of Languages and Applied Linguistics,Milton Keynes,U.K.; Science & Technology Facilities Council,The Hartree Centre,Daresbury,U.K.; University of Sheffield,Computer Science Department,Sheffield,U.K.","2020 IEEE International Conference on Big Data (Big Data)","19 Mar 2021","2020","","","2117","2120","We present a new, large-scale corpus for training and evaluating text summarization systems on legal opinions, called LegalOps. The corpus includes ~14K opinions together with their summaries from U.S. Federal Courts, e.g. the Supreme Court and Federal Appeals Courts. The aim of this paper is to provide a novel data source of sufficient variety that it will advance theoretical work on modeling the particular patterns within legal discourse, but also of sufficient size that it will provide a new challenging testbed for state-of-the-art automatic summarization models.","","978-1-7281-6251-5","10.1109/BigData50022.2020.9378308","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9378308","legal;corpus;automatic summarization;U.S. Federal Courts","Training;Law;Conferences;Big Data;Data models;Planning","","","","","","22","","19 Mar 2021","","","IEEE","IEEE Conferences"
"Does Semantic Search Performs Better than Lexical Search in the Task of Assisting Legal Opinion Writing?","D. de Souza Costa Pedroso; M. Ladeira; T. de Paulo Faleiros","University of Brasilia, Brazil; University of Brasilia, Brazil; University of Brasilia, Brazil","2019 18th IEEE International Conference On Machine Learning And Applications (ICMLA)","17 Feb 2020","2019","","","680","685","Many of the criminal cases analysed by the Prosecution Office of the Federal District and Territories are repetitive and processing them can be streamlined by providing similar previous cases as template. We investigate the use of information retrieval techniques to enable automated identification of similar cases and evaluate if semantic search performs better than lexical search in the task of assisting legal opinion writing. As a proof of concept, syntactic indexing (TF-IDF and BM25) and semantic indexing (Latent Semantic Indexing - LSI and Latent Dirichlet Allocation - LDA) techniques were evaluated using document collections from two public prosecutors offices. In addition, we evaluate model enrichment with the use of recorded data about the cases, and also with the legal norm citations observed in documents. Baseline document collections sampled from full document collection from two public prosecutors offices were used for model evaluation utilizing Normalized Discounted Cumulated Gain (NDCG) as metric. We conclude that there is no significant performance difference between semantic and syntactic indexing techniques. In addition, we observe no significant performance gain with model enrichment. We chose the BM25 technique as more adequate because it has a good balance between performance and simplicity.","","978-1-7281-4550-1","10.1109/ICMLA.2019.00123","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8999300","Legal Information Retrieval, Topic Modeling, Semantic Search","Law;Semantics;Information retrieval;Indexing;Task analysis;Large scale integration","citation analysis;document handling;indexing;information retrieval;law","semantic search;lexical search;criminal cases;information retrieval techniques;syntactic indexing;latent semantic indexing;latent dirichlet allocation;document collection;public prosecutors offices;legal norm citations;BM25 technique;legal opinion writing assistance;normalized discounted cumulated gain;federal district;LSI;LDA;TF-IDF;NDCG;territories","","","","13","","17 Feb 2020","","","IEEE","IEEE Conferences"
"Break up the Family: Protocols for Efficient Recall-Oriented Retrieval Under Legally-Necessitated Dual Constraints","J. Pickens; T. C. Gricks; A. Bye","Catalyst Repository Systems, Denver, USA; Catalyst Repository Systems, Denver, USA; Catalyst Repository Systems, Denver, USA","2018 IEEE International Conference on Big Data (Big Data)","24 Jan 2019","2018","","","3302","3309","In the legal domain, the primary objective of eDiscovery is to retrieve, from within a document population, as many individual relevant documents as possible given the expenditure of a reasonable review effort. The production of relevant documents to opposing counsel, however, is typically made on a family basis (an email and all its attachments), such that the entire family is produced as a collective unit. Counsel's ethical responsibility to prevent the disclosure of privileged information necessitates review of every document in every family being produced. Consequently, it is standard industry practice to batch entire families for review together. This work examines the overall review ordering and efficiency of alternative techniques for managing review leading to the production of relevant document families while fully protecting privilege. Batching, document sequencing, and therefore, training of the core supervised machine learning (AI) algorithm differ among each protocol, and lead to different overall efficiencies. Our empirical results support two conclusions. First, break up the family. In every instance, broken family retrieval protocols are more efficient than full family protocols. Second, a carefully designed and implemented dual phase workflow incorporating an initial, expedited relevance review can be more efficient than a single phase workflow, even if some documents are reviewed twice.","","978-1-5386-5035-6","10.1109/BigData.2018.8622323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8622323","eDiscovery;legal information retrieval;document review protocols;privileged data protection","Protocols;Machine learning algorithms;Task analysis;Law;Industries","document handling;information retrieval;law administration;supervised learning","broken family retrieval protocols;dual phase workflow;efficient recall-oriented retrieval;legally-necessitated dual constraints;review ordering;document sequencing;supervised machine learning algorithm;document families;eDiscovery;full family protocols","","","","12","","24 Jan 2019","","","IEEE","IEEE Conferences"
"Detecting hidden structures from Arabic electronic documents: Application to the legal field","I. B. Mezghanni; F. Gargouri","MIRACL Laboratory, ISIM Sfax, Sfax University, TUNISIA; MIRACL Laboratory, ISIM Sfax, Sfax University, TUNISIA","2016 IEEE 14th International Conference on Software Engineering Research, Management and Applications (SERA)","21 Jul 2016","2016","","","75","81","Dealing with unstructured information is currently a hot research topic since most documents exist in an unstructured form. The effective exploitation of unstructured document, although intricate, is of paramount importance to Information Retrieval (IR). The key to using unstructured data set is to identify the hidden structures within the data set. In this paper, we present an approach to recognize the semantic structure of documents in Arabic legal data. Several main concepts of a document are expressed in this structure, which includes title, the headings of the chapters, sections, subsections, etc. This structural information is employed to obtain a richer and more fine-grained annotation of documents forming a useful and coherent infrastructure ready for IR. Some experiments were conducted in order to evaluate our approach. The initial results seem promising.","","978-1-5090-0809-4","10.1109/SERA.2016.7516131","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7516131","document ontology;document structure extraction;document annotation;legal information retrieval","Semantics;Law;Ontologies;Layout;Pragmatics;Sections","information retrieval;law administration;natural language processing;text analysis","fine-grained annotation;Arabic legal data;semantic structure;information retrieval;hidden structure detection;Arabic electronic document","","1","","14","","21 Jul 2016","","","IEEE","IEEE Conferences"
"Legal requirements analysis and modeling with the measured compliance profile for the goal-oriented requirement language","R. Rashidi-Tabrizi; G. Mussbacher; D. Amyot","School of Electrical Engineering and Computer Science (EECS) University of Ottawa Ottawa, Canada; School of Electrical Engineering and Computer Science (EECS) University of Ottawa Ottawa, Canada; School of Electrical Engineering and Computer Science (EECS) University of Ottawa Ottawa, Canada","2013 6th International Workshop on Requirements Engineering and Law (RELAW)","21 Nov 2013","2013","","","53","56","As demonstrated by a benchmark HIPPA case study, the Measured Compliance Profile for the Goal-oriented Requirement Language (GRL) is used to formalize legal text with GRL in order to make it amenable to compliance analysis. This formalization is based on guidelines yielding a goal model that can be analyzed for compliance with the jUCMNav tool with the help of real-world measurements captured by indicators in the goal model. For usability reasons, the legal text may also be specified in a tabular representation and subsequently transformed into a goal model by jUCMNav.","","978-1-4799-0950-6","10.1109/RELAW.2013.6671346","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6671346","legal requirements;Goal-oriented Requirement Language;compliance;indicator;jUCMNav","Analytical models;Law enforcement;Educational institutions;Electric variables measurement;Electrical engineering","formal specification;law","legal requirements analysis;compliance profile;goal-oriented requirement language;HIPPA case study;GRL;legal text;jUCMNav tool;tabular representation","","","","3","","21 Nov 2013","","","IEEE","IEEE Conferences"
"Addressing Legal Requirements in Requirements Engineering","P. N. Otto; A. I. Anton","North Carolina State Univ., Raleigh; North Carolina State Univ., Raleigh","15th IEEE International Requirements Engineering Conference (RE 2007)","19 Nov 2007","2007","","","5","14","Legal texts, such as regulations and legislation, are playing an increasingly important role in requirements engineering and system development. Monitoring systems for requirements and policy compliance has been recognized in the requirements engineering community as a key area for research. Similarly, regulatory compliance is critical in systems that are governed by regulations and law, especially given that non-compliance can result in both financial and criminal penalties. Working with legal texts can be very challenging, however, because they contain numerous ambiguities, cross-references, domain-specific definitions, and acronyms, and are frequently amended via new regulations and case law. Requirements engineers and compliance auditors must be able to identify relevant regulations, extract requirements and other key concepts, and monitor compliance throughout the software lifecycle. This paper surveys research efforts over the past 50 years in handling legal texts for systems development. These efforts include the use of symbolic logic, logic programming, first-order temporal logic, deontic logic, defeasible logic, goal modeling, and semi-structured representations. This survey can aid requirements engineers and auditors to better specify, monitor, and test software systems for compliance.","2332-6441","978-0-7695-2935-6","10.1109/RE.2007.65","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4384161","","Law;Legal factors;Logic programming;Monitoring;Government;Information security;Legislation;Software systems;Computer science;Systems engineering and theory","logic programming;program testing;temporal logic;text analysis","requirements engineering;legal texts;system development;monitoring systems;domain-specific definitions;cross-references;software lifecycle;symbolic logic;logic programming;first-order temporal logic;deontic logic;goal modeling;semistructured representations;test software systems","","89","","47","","19 Nov 2007","","","IEEE","IEEE Conferences"
"Proposal of Nationwide Expert Database of Offenses and Crimes Research in Slovakia - New Case Study of Košice","F. Balla; J. Jevčák; L. Choma; P. Petríček; H. Némethová; S. Makó; M. Pilát; V. Polishchuk","Technical University of Košice/Faculty of Aeronautics,Faculty of Aeronautics,Košice,Slovakia; Technical University of Košice/Faculty of Aeronautics,Faculty of Aeronautics,Košice,Slovakia; Technical University of Košice/Faculty of Aeronautics,Faculty of Aeronautics,Košice,Slovakia; Technical University of Košice/Faculty of Aeronautics,Faculty of Aeronautics,Košice,Slovakia; Technical University of Košice/Faculty of Aeronautics,Faculty of Aeronautics,Košice,Slovakia; Technical University of Košice/Faculty of Aeronautics,Faculty of Aeronautics,Košice,Slovakia; Technical University of Košice/Faculty of Aeronautics,Faculty of Aeronautics,Košice,Slovakia; Uzhhorod National University,Faculty of Information Technologies,Uzhhorod 88000,Ukraine","2019 Modern Safety Technologies in Transportation (MOSATT)","30 Dec 2019","2019","","","13","16","The presented project proposal explores the importance of perceiving the security of society and the safety of the citizens as an important factor in the quality of life, the support for exploration and the search for optimal tools of society's reaction, especially to the criminality and the problems of marginalized and socially excluded groups in the Slovak cities. In that context the complexity and interdisciplinary focus is this criminological and security-legal project compiled and prepared. The absence of nationwide criminological and security-legal research conducted in the security environment and the relationship between the various threats to the regional knowledge and research problems with support and the using of modern ground and aerial tools in the urban environment is identified. The paper answers the pre-research questions why research is to be carried out and which are the main research activities that will determine the course of scientific work in order to identify the scientific problem and the appropriate solution methodology for creating the new project within Košice urban environment.","","978-1-7281-5083-3","10.1109/MOSATT48908.2019.8944094","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8944094","multidisciplinary research;spatial data;legal and security research;IT;ground and aerial tools","Security;Urban areas;Law;Safety;Sociology;Statistics","security of data;social aspects of automation","nationwide expert database;Košice urban environment;aerial tools;security environment;security-legal research;criminological security-legal project;Slovak cities;socially excluded groups;marginalized excluded groups;crimes research","","","","16","","30 Dec 2019","","","IEEE","IEEE Conferences"
"Overview of Licensing and Legal Issues for Digital Forensic Investigators","G. W. Manes; E. Downing",Avansic; Avansic,"IEEE Security & Privacy","7 Apr 2009","2009","7","2","45","48","Digital forensic examiners face challenges outside the technical aspects of collecting, investigating, and storing digital information. Rules about admissibility and the licensing requirements for forensic professionals must also be taken into account. The use of digital data in an expanding number of US court cases and business investigations has precipitated changes in evidence handling and admissibility requirements, most notably in the 2006 changes to the Federal Rules of Civil Procedure. Knowledge of these rules and the ensuing case law is an essential component of any examiner's toolkit because improper evidence handling can lead to inadmissible evidence. The court's acceptance of such evidence is also greatly affected by the examiner's proper licensure. Unfortunately, these requirements vary by state (sometimes even by city) and are constantly changing. Therefore, digital forensic investigators must heed both the court's rules regarding evidence handling and the state's rules for licensing in order to be most effective.","1558-4046","","10.1109/MSP.2009.46","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4812156","digital forensics;licensing;investigator;investigation;security","Licenses;Law;Legal factors;Digital forensics;Guidelines;Testing;Security;Privacy;Pharmaceuticals;Protection","forensic science;legislation","licensing;legal issue;digital forensic;digital information;forensic professional;digital data;US court case;evidence handling;admissibility requirement;Federal Rules of Civil Procedure;case law;inadmissible evidence","","2","","8","","7 Apr 2009","","","IEEE","IEEE Magazines"
"Patents on diagnostic methods in Europe under the European Patent Convention (EPC)","M. Barba","European Patent Office, Munich, 80335 Germany","2010 Annual International Conference of the IEEE Engineering in Medicine and Biology","11 Nov 2010","2010","","","2979","2981","This article reviews the provisions of the European Patent Convention with regard to diagnostic methods practiced on the human or animal body. Moreover, it is also discussed the relevant jurisprudence (Case Law) interpreting the legal provisions. Some examples based on real cases are also presented and discussed.","1558-4615","978-1-4244-4123-5","10.1109/IEMBS.2010.5626173","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5626173","","Patents;Europe;Animals;Humans;Law;Technological innovation;Alzheimer's disease","law;patents;patient diagnosis","European Patent Convention;human body;animal body;diagnostic methods;jurisprudence;legal provisions;case law","Alzheimer Disease;Automation;Diagnostic Techniques and Procedures;Europe;Humans;Lung Diseases;Patents as Topic;Research;Research","","","11","","11 Nov 2010","","","IEEE","IEEE Conferences"
